Country;Target;Reporting;Gap(total);Gap(improve);Gap(new);Target_u;Reporting_u;Gap(total)_u;Gap(improve)_u;Gap(new)_u
Afghanistan;17;0;17;12;5;3;0;3;3;0
Albania;1;0;1;1;0;1;0;1;0;1
Algeria;60;0;60;60;0;10;1;9;4;5
Angola;32;20;12;12;0;5;3;2;0;2
Antigua and Barbuda;1;0;1;1;0;1;0;1;0;1
Argentina;70;64;6;6;0;12;6;6;1;5
Armenia;1;0;1;1;0;1;0;1;1;0
Azerbaijan;3;0;3;3;0;1;0;1;1;0
Bahamas;3;0;3;3;0;1;0;1;1;0
Bangladesh;4;0;4;4;0;1;4;0;0;0
Barbados;1;1;0;0;0;1;1;0;0;0
Belarus;6;0;6;6;0;1;0;1;1;0
Belize;1;0;1;1;0;1;1;0;0;0
Benin;3;1;2;2;0;1;1;0;0;0
Bhutan;1;1;0;0;0;1;0;1;0;1
Bolivia;28;0;28;28;0;5;0;5;1;4
Bosnia and Herzegovina;2;16;0;0;0;1;0;1;0;1
Botswana;15;0;15;15;0;3;0;3;1;2
Brazil;213;406;0;0;0;35;31;4;2;2
Burkina Faso;7;2;5;5;0;2;0;2;1;1
Burundi;1;0;1;1;0;1;0;1;0;1
Cabo Verde;4;0;4;4;0;1;0;1;1;0
Cambodia;5;9;0;0;0;1;0;1;0;1
Cameroon;12;0;12;12;0;2;0;2;2;0
Central African Republic;16;0;16;13;3;3;0;3;1;2
Chad;33;1;32;32;0;6;0;6;2;4
China;242;1;241;241;0;41;87;1;0;1
Colombia;29;10;19;19;0;5;3;2;2;0
Comoros;1;0;1;1;0;1;0;1;0;1
Congo;9;0;9;8;1;2;0;2;2;0
Cook Islands;1;2;0;0;0;1;0;1;1;0
Costa Rica;2;0;2;2;0;1;0;1;1;0
Côte d'Ivoire;9;1;8;8;0;2;1;1;1;0
Cuba;2;0;2;2;0;1;0;1;1;0
Democratic Republic of Korea;4;0;4;4;0;1;0;1;1;0
Democratic Republic of the Congo;59;0;59;35;24;10;0;10;0;10
